lc,quantity,serving_size,packaging_tags,brands_tags,categories_tags,labels_tags,countries_tags,stores_tags,allergens_tags,traces_tags,nutrition_data_per,nutrition_data_prepared_per,energy-kj_value,energy-kcal_value,fat_value,fat_unit,saturated-fat_value,saturated-fat_unit,carbohydrates_value,carbohydrates_unit,sugars_value,sugars_unit,fiber_value,fiber_unit,proteins_value,proteins_unit,salt_value,salt_unit,sodium_value,sodium_unit,energy_value,energy_unit,vitamin-d_value,vitamin-d_unit,calcium_value,calcium_unit,iron_value,iron_unit,packaging_1_shape,packaging_1_material,packaging_2_shape,packaging_2_material,link,off:food_groups,off:food_groups_tags,off:nova_groups,off:nova_groups_tags,off:nutriscore_grade,off:nutriscore_score,off:ecoscore_grade,off:ecoscore_score,off:ecoscore_data.missing_key_data,off:ecoscore_data.agribalyse.code,off:ecoscore_data.adjustments.origins_of_ingredients.value,off:ecoscore_data.adjustments.packaging.value,off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials,off:ecoscore_data.adjustments.production_system.value,off:ecoscore_data.adjustments.threatened_species.value,data_sources,product_name,ingredients
de,67 ,,,"nestle,pirulo","en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-pops","en:no-gluten,en:green-dot,en:nutriscore,en:nutriscore-grade-c","en:germany,en:spain,en:switzerland","edeka,netto-marken-discount",,,100g,100g,384.0,90.0,0.5,g,0.4,g,20.9,g,15.7,g,0.3,g,0.1,g,0.01,g,0.004,g,384.0,kJ,,,,,,,,,,,,en:ice-cream,"en:milk-and-dairy-products,en:ice-cream",,unknown,c,4.0,b,74.0,1.0,39526.0,-5,-15,1,0,,"App - yuka, Apps, App - elcoco, App - El CoCo, App - smoothie-openfoodfacts",Pirulo Watermelon,
es,41.5,,,nestle,,,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,,Kit kat dark,
es,41.5,,,nestle,,,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,,Kit kat white,
es,38,,,nestle,,,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,,Crunch cookies & cream,
es,40 ,,,nestle,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:bars,en:chocolate-candies,en:bars-covered-with-chocolate",,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en:biscuits-and-cakes,"en:sugary-snacks,en:biscuits-and-cakes",,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - elcoco, Apps, App - El CoCo, App - smoothie-openfoodfacts",crunch,
es,24,,,nestle,,,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,,Larin avellana,
es,24,,,nestle,,,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,,Larin almendra,
es,200,,,nestle,,,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,,Postre oscuro,
es,200,,,nestle,,,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,,Cocosete,
es,200,,,nestle,,,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,,100%cacao,
es,400,100g,es:green-dot,nestle,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:baby-foods,en:fermented-dairy-desserts,en:snacks-and-desserts-for-babies,en:yogurts,en:dairy-dessert-for-baby,en:from-6-months,en:plain-dairy-dessert-for-baby","en:no-gluten,en:no-artificial-flavors,en:no-artificial-preservatives,en:calcium-source,en:no-artificial-colors,en:no-artificial-colours-and-preservatives","en:france,en:spain",mercadona,en:milk,,100g,100g,353.0,84.0,3.3,g,2.0,g,10.5,g,6.9,g,0.2,g,3.0,g,0.0088,g,0.00352,g,353.0,kJ,,,100.0,mg,,,,,,,https://www.nestlebebe.es/productos-infantiles/yogolino/tarritos-tarrinas/yogolino-natural,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",4.0,en:4-ultra-processed-food-and-drink-products,not-applicable,,b,72.0,1.0,13166.0,-5,-15,1,0,,"App - yuka, Apps, App - InFood",Yogolino natural,"_Leche_ 82,5%, agua, azúcar, almidón de tapioca, fermentos lácteos (_leche_), espesante (pectina), proteínas de _leche_, aroma natural (_lactosa_),"
es,112 ,,,"dolce-gusto,nescafe,nestle","en:beverages-and-beverages-preparations,en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:hot-beverages,en:coffees,en:capsules,en:coffee-capsules,en:dolce-gusto-compatible-coffee-capsules",en:green-dot,"en:portugal,en:spain",continente,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,en:box,en:cardboard,,,https://www.dolce-gusto.es/capsulas/cafes-espressos-ristrettos/espresso-intenso,,,,unknown,unknown,,e,-6.0,,18003.0,-5,-1,0,0,,"App - elcoco, App - yuka, Apps, App - El CoCo, App - InFood",Dolce Gusto Espresso Intenso,
