lc,quantity,serving_size,packaging_tags,brands_tags,categories_tags,labels_tags,countries_tags,stores_tags,allergens_tags,traces_tags,nutrition_data_per,nutrition_data_prepared_per,energy-kj_value,energy-kcal_value,fat_value,fat_unit,saturated-fat_value,saturated-fat_unit,carbohydrates_value,carbohydrates_unit,sugars_value,sugars_unit,fiber_value,fiber_unit,proteins_value,proteins_unit,salt_value,salt_unit,sodium_value,sodium_unit,energy_value,energy_unit,vitamin-d_value,vitamin-d_unit,calcium_value,calcium_unit,iron_value,iron_unit,packaging_1_shape,packaging_1_material,packaging_2_shape,packaging_2_material,link,off:food_groups,off:food_groups_tags,off:nova_groups,off:nova_groups_tags,off:nutriscore_grade,off:nutriscore_score,off:ecoscore_grade,off:ecoscore_score,off:ecoscore_data.missing_key_data,off:ecoscore_data.agribalyse.code,off:ecoscore_data.adjustments.origins_of_ingredients.value,off:ecoscore_data.adjustments.packaging.value,off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials,off:ecoscore_data.adjustments.production_system.value,off:ecoscore_data.adjustments.threatened_species.value,data_sources,product_name,ingredients
es,500 ,,,nestle,,"en:no-gluten,en:no-lactose",en:spain,,,,100g,100g,,208.0,6.9000000953674,g,5.4000000953674,g,33.0,g,23.0,g,,,2.9000000953674,g,0.10999999940395,g,0.04399999976158,g,208.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Sin lactosa stracciatella y chocolate,
es,,,,nestle,,,en:spain,,,,100g,100g,,542.0,30.8,g,17.7,g,58.9,g,57.8,g,46.4,g,6.2,g,0.13,g,0.052,g,542.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",nestle extrafino pack,
es,,,,nestle,,en:no-palm-oil,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",NAN CONFORT TOTAL,
es,50 ,,,nestle,,,en:spain,,,,100g,100g,,560.0,34.0,g,17.2,g,56.0,g,49.6,g,,,7.6,g,,,,,560.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Sublime Almendras,
pt,70 ,70 g,,nestle,"en:france,en:portugal,en:spain",,"en:france,en:portugal,en:spain",,"en:gluten,en:soybeans",en:frutos-de-casca-rija,100g,100g,1240.0,296.0,14.0,g,11.0,g,38.0,g,28.0,g,0.9,g,3.0,g,0.17,g,0.068,g,1240.0,kJ,,,,,,,,,,,,,,4.0,en:4-ultra-processed-food-and-drink-products,e,19.0,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps, App - elcoco, App - El CoCo",Nestlé Extreme - Double Vanilla,"GELADO DE BAUNILHA COM CONE DE BOLACHA DE TRIGO, COBERTURA DE CACAU (4%) E PEDACINHOS DE AMÊMNDOA CARAMELIZADA (2%). Ingredientes: leite em pó magro reconstitúido, açucar,água, gordura de coco, farinha de trigo, xarope de glucose, sorto de leite em pó, óleo de girassol, cacau magro em pó (1%), amêndoa (0,8%), emulsionates [mono e diglicéridos de ácidos gordos, lecitinas (soja)], estabilizadores (farinha de sementes de alfarroba, goma de guar), aromas naturais de baunilha, sal vagens de baunilha esgotadas moídas, corante (carotenos)"
es,,,,nestle,,,en:spain,,,,100g,100g,,452.0,7.8,g,3.2,g,81.3,g,23.4,g,,,7.5,g,0.3,g,0.12,g,452.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Zoologia,
es,,,,nestle,,,en:spain,,,,100g,100g,,72.0,1.8,g,1.6,g,78.0,g,75.1,g,0.5,g,3.6,g,0.14,g,0.056,g,72.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Nesquik,
es,,,,nestle,,,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - El CoCo, Apps",,
es,,,,nestle,,,en:spain,,,,100g,100g,,,,,0.0,g,,,0.0,g,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Preparado lácteo infantil con cereales,
es,,,,nestle,,en:no-lactose,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Al 110 NAN sin lactosa,
es,,,,nestle,,,en:spain,,,,100g,100g,,126.0,6.7,g,3.8,g,10.0,g,9.6,g,6.7,g,6.2,g,2.0,g,0.8,g,126.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Leche en polvo,
es,,,,nestle,,en:no-gluten,en:spain,,,,100g,100g,,376.0,2.2,g,1.3,g,81.0,g,57.3,g,,,4.5,g,0.0,g,0.0,g,376.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Cacao a la taza,
es,,,,nestle,,,en:spain,,,,100g,100g,,54.0,3.1,g,0.38,g,6.1,g,3.0,g,,,1.0,g,,,,,54.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Kit kat integral,
es,,,,nestle,,,en:spain,,,,100g,100g,,228.0,9.2,g,5.4,g,26.9,g,22.1,g,,,5.4,g,0.2,g,0.08,g,228.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Tartaleta de albaricoque,
es,,,,nestle,,,en:spain,,,,100g,100g,,233.0,13.0,g,7.1,g,24.0,g,22.0,g,,,4.2,g,0.19,g,0.076,g,233.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Helado de turron,
en,,,,nestle,"en:meals,en:meal-replacements",,"en:spain,en:united-kingdom",,en:milk,,100g,100g,,392.0,11.0,g,1.2,g,34.0,g,19.0,g,6.5,g,36.0,g,1.4,g,0.56,g,392.0,kcal,,,,,,,,,,,,en:one-dish-meals,"en:composite-foods,en:one-dish-meals",4.0,en:4-ultra-processed-food-and-drink-products,not-applicable,,b,61.0,1.0,42003.0,-5,-15,1,0,,"App - yuka, Apps, App - Open Food Facts",Optifast,"Skimmed milk powder, milk proteins, vegetable oils (canola, sunflower) (contains milk proteins), corn starch, fibres (acacia gum, oligofructose, inulin), minerals (potassium citrate, magnesium citrate, potassium phosphate, sodium chloride, calcium carbonate, ferrous sulphate, zinc sulphate, copper gluconate, manganese sulphate, sodium fluoride, sodium selenite, chromium chloride, sodium molybdate, potassium iodidel, colour (caramel), vitamins (C, niacin, E, pantothenic acid, B6, thiamin, riboflavin, K, A , biotin, folic acid, D, B12), flavourings, sweeteners (E 950, E 951). Contains aspartame, a source of phenylalanine."
es,,,,nestle,,,en:spain,,,,100g,100g,,557.0,33.1,g,17.3,g,56.9,g,50.0,g,,,7.8,g,0.0,g,0.0,g,557.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Princesa,
fr,,,,nestle,,,en:spain,,,,100g,100g,,40.0,0.22,g,0.11,g,5.95,g,5.8,g,,,3.55,g,,,,,40.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Nesquik,"Contenido ene etico por envase 8 420 kJ/198 kCal
Vaos Autmetales de Relerenca para la Poblacion Mexicana NOM-OSH-SCFI/SSA-2010.
mets adcos Nutrimento contenido naturalmente en la leche descremada
hgdertes Fbra solde, anicares ahadidos (azucar), cocoa, lectina de soya (emulsificante), saborizantes naturales, sal yodada y canela en polvo Vitaninas y
Ande conter soldos de leche. INSTRUCCION DE USO: En un vaso con leche descremada (231 m) agregue 2 cucharadas copeteadas (38 g) de
CY Mouel de Cervantes Saavedra No. 301 PBTeme Su, Cal. Granada, 1520 Cludad de Mexico. Harcas Regustrades usades
nhmanirar on bese ab NOM-O SSA94 con"
es,,,,nestle,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:cereals-and-their-products,en:breakfast-cereals",,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en:breakfast-cereals,"en:cereals-and-potatoes,en:breakfast-cereals",,unknown,unknown,,d,25.0,1.0,32135.0,-5,-15,1,0,,"App - elcoco, Apps, App - El CoCo",,
es,,,,nestle,,,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - El CoCo, Apps",,
es,,,,nestle,,,en:spain,,,,100g,100g,,120.0,12.0,g,3.0,g,14.0,g,8.0,g,,,2.0,g,1.0,g,0.4,g,120.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Amor,
es,,,,nestle,,,en:spain,,,,100g,100g,,540.0,31.0,g,15.9,g,56.9,g,50.1,g,1.6,g,4.5,g,,,,,540.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Jungly turrón,
es,,,,nestle,,en:no-gluten,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - El CoCo, Apps",,
es,,,,nestle,,en:no-gluten,en:spain,,,,100g,100g,,343.0,11.0,g,6.4000000953674,g,19.89999961853,g,1.2000000476837,g,,,22.0,g,,,,,343.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Nesquik Intenso,
es,,,,nestle,,,en:spain,,,,100g,100g,,557.0,33.1,g,17.3,g,56.9,g,50.0,g,,,7.8,g,0.38,g,0.152,g,557.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Princesa,
es,,,,nestle,,,en:spain,,,,100g,100g,,399.0,4.8,g,1.2,g,75.0,g,20.8,g,,,12.0,g,0.17,g,0.068,g,399.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",8 cereales con galleta maria,
es,,,,nestle,,,en:spain,,,,100g,100g,,559.0,35.9,g,19.7,g,50.0,g,45.0,g,,,5.7,g,,,,,559.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Trufone,
es,,,en:mixed-plastic-film-packet,nestle,,,en:spain,,,,100g,100g,,518.0,26.5,g,14.9,g,61.1,g,49.5,g,,,8.3,g,0.3,g,0.12,g,518.0,kcal,,,,,,,en:packet,en:plastic,,,,,,,unknown,unknown,,unknown,,,,-5,-10,1,0,,"App - yuka, Apps, App - Horizon",Kit Kat Chucky,
es,,,,nestle,,,en:spain,,,,100g,100g,,101.0,1.3,g,0.9,g,19.0,g,18.0,g,0.8,g,2.9,g,0.18,g,0.072,g,101.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Chocolate,
es,,,,nestle,,,en:spain,,,,100g,100g,,116.0,4.4,g,2.9,g,15.5,g,14.9,g,,,3.7,g,0.14,g,0.056,g,116.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Yogur frambuesa stracciatela,
es,,,,nestle,,,en:spain,,,,100g,100g,,552.0,34.1,g,15.9,g,51.0,g,48.0,g,,,9.0,g,0.83,g,0.332,g,552.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Chocolate Sublime,
es,,,,nestle,"en:cocoa-and-its-products,en:cocoa-and-chocolate-powders",en:no-gluten,en:spain,,,,100g,100g,,,,,,,,,,,,,,,0.0,g,0.0,g,,,,,,,,,,,,,,,,,unknown,unknown,,e,4.0,1.0,18167.0,-5,-15,1,0,,"App - yuka, Apps",Nesquik,
es,,,,nestle,,en:no-palm-oil,en:spain,,,,100g,100g,,431.0,12.0,g,2.5,g,62.0,g,25.0,g,,,16.5,g,0.3,g,0.12,g,431.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps","Papilla con leche avena,mango y platano",
es,,,,nestle,,,en:spain,,,,100g,100g,,526.0,28.1,g,15.5,g,61.4,g,50.8,g,,,5.8,g,0.17,g,0.068,g,526.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",KitKat Dark Orange,
es,,,,nestle,,,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - El CoCo, Apps",,
es,370 ,20g,,nestle,,en:no-gluten,en:spain,carrefour,,en:puede-contener-leche,100g,100g,,332.0,8.6,g,0.7,g,61.8,g,50.2,g,0.5,g,1.6,g,0.02,g,0.008,g,332.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,,,"Azúcar, agua, harina de arroz hidrolizado (10%), aceite de girasol alto oleico, harina de avena sin gluten (7%)."
es,,,,nestle,,en:no-gluten,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Bruno,
es,6 x 33 cl,,,nestle,,,en:spain,,,,100g,100g,,,,,,,,,,,,,,,0.0,g,0.0,g,,,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Agua,
es,,,,nestle,,,en:spain,,,,100g,100g,,431.0,12.0,g,2.5,g,61.0,g,22.0,g,,,17.0,g,0.3,g,0.12,g,431.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Multicereales con leche,
es,,,,nestle,,"en:no-gluten,en:no-flavors,en:no-palm-oil",en:spain,,,,100g,100g,,385.0,1.4,g,0.3,g,85.0,g,0.9,g,,,7.6,g,,,,,385.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - elcoco, Apps, App - yuka, App - El CoCo",Seleccion de la Naturaleza,
es,,,,nestle,,en:no-gluten,en:spain,,,,100g,100g,,94.0,3.0,g,1.8,g,12.6,g,10.7,g,,,4.0,g,0.2,g,0.08,g,94.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Milkybar Shake,
es,,,,nestle,,,en:spain,,,,100g,100g,,2.2999999523163,7.6999998092651,g,7.6999998092651,g,73.800003051758,g,25.0,g,,,8.1999998092651,g,0.49000000953674,g,0.196000003814696,g,2.2999999523163,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps, App - El CoCo",Lion,
es,,,,nestle,,,en:spain,,,,100g,100g,,321.0,8.0,g,4.6,g,54.9,g,54.9,g,,,7.5,g,0.2,g,0.08,g,321.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Leche condensada,
es,,,,nestle,,,en:spain,,,,100g,100g,,47.0,1.7000000476837,g,1.1000000238419,g,6.0,g,5.8000001907349,g,,,1.7000000476837,g,,,,,47.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Nesquik,
es,,,,nestle,,,en:spain,,,,100g,100g,,280.0,13.0,g,9.2,g,36.0,g,23.0,g,1.0,g,3.7,g,0.19,g,0.076,g,280.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Helado sabor a turrón con barquillo,
es,,,,nestle,"en:cocoa-and-its-products,en:cocoa-and-chocolate-powders","en:no-gluten,en:sustainable-farming,en:utz-certified",en:spain,,,,100g,100g,,386.0,1.6,g,1.6,g,78.9,g,75.1,g,,,5.1,g,0.41,g,0.164,g,386.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,e,14.0,1.0,18167.0,-5,-15,1,10,,"App - yuka, Apps",Nesquik,
es,,,,nestle,,,en:spain,,,,100g,100g,,103.0,2.9000000953674,g,0.5,g,15.5,g,6.5,g,,,3.5,g,,,,,103.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Cereales y leche. Trigo y miel,
es,,,,nestle,,,en:spain,,,,100g,100g,,556.0,31.3,g,0.0,g,63.6,g,3.6,g,,,3.6,g,,,,,556.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Kit Kat sabor sirope de arce,
es,,,,nestle,,,en:spain,,,,100g,100g,,347.0,2.2,g,0.4,g,67.0,g,7.2,g,,,9.0,g,0.03,g,0.012,g,347.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Meritene cereal instant,
es,,,,nestle,,"en:nutriscore,en:nutriscore-grade-e",en:spain,,,,100g,100g,,510.0,26.8,g,15.8,g,61.2,g,52.4,g,1.5,g,4.7,g,0.31,g,0.124,g,510.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - Yuka, Apps",extra fino xtreme galleta caramelo chocolate con leche,
es,4 x 200 ml,,,nestle,,,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - Yuka, Apps",Rosource densene,
es,,,,nestle,,,en:spain,,,,100g,100g,,398.0,4.8,g,2.2,g,74.5,g,20.8,g,,,12.0,g,0.17,g,0.068,g,398.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps","8 cereales platano, naranja, galleta",
es,,,,nestle,,,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Ruby Chocolate,
es,53 ,,,nestle,,en:made-in-swiss,en:spain,,,,100g,100g,,1.0,0.0,g,0.0,g,0.3,g,0.0,g,,,0.2,g,0.0,g,0.0,g,1.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - elcoco, Apps, App - yuka, App - El CoCo",Inspirazione Firenze Arpeggio,
es,,,,nestle,,,en:spain,,,,100g,100g,,514.0,26.799999237061,g,15.10000038147,g,45.0,g,0.0,g,,,8.1999998092651,g,0.15000000596046,g,0.060000002384184,g,514.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Easter break,
en,,,,nestle,,en:no-colorings,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,,cereal integral,"Nestle.
Good Food, Good Life
INGREDIENTES: Trigo integral (50,9%),
arroz (37,3%), azucar, copos de avena
integral (7,1%), jarabe de azucar invertido, extracto de
malta de cebada (cebada, malta de cebada),
carbonato calcico, sal, jarabe de glucosa, melazas,
antioxidante (extracto rico en tocoferoles), hierro,
niacina, acido pantotenico, vitamina B6, riboflavina,
acido folico.
PUEDE CONTENER CACAHUETE, FRUTOS DE
CASCARA Y LECHE.
Para producir 100 g de este producto, hemos usado
58 g de cereales integrales.
%
INFORMACION
NUTRICIONAL
Por
100g
Por 30 g
(%IR *)
Por 30 g 
125ml leche
desnatada
Valor energetico 1557 kJ
368 kcal
467 kJ (6%)
110 kcal
652kJ
154 kcal
Grasas
de las cuales saturadas
1,8 g
0,6 g
0,5 g (1%)
0,2 g (1%)
0,6 g
0,2 g"
es,,,,nestle,,,en:spain,,,,100g,100g,,74.0,1.9,g,1.3,g,11.4,g,11.4,g,,,2.9,g,0.13,g,0.052,g,74.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Yogurt sabores,
es,,,,nestle,,en:no-gluten,en:spain,,,,100g,100g,,72.0,1.8,g,1.1,g,9.8,g,9.5,g,,,3.6,g,0.14,g,0.056,g,72.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Nesquik 25 Sobres,
es,,,,nestle,,,en:spain,,,,100g,100g,,178.0,31.0,g,16.0,g,58.0,g,43.0,g,,,5.7,g,0.34,g,0.136,g,178.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Crunch Snack,
es,,,,nestle,,,en:spain,,,,100g,100g,,61.0,0.2,g,0.1,g,3.0,g,2.7,g,,,12.0,g,0.1,g,0.04,g,61.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",LINDAHLs PRO+ sabor fresa & lima,
es,,,,nestle,,"en:no-gluten,en:organic,en:eu-organic,en:no-added-sugar,fr:ab-agriculture-biologique",en:spain,,,,100g,100g,,76.0,0.2,g,0.2,g,16.8,g,2.0,g,,,0.7,g,,,,,76.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,15,,"App - yuka, Apps","Plátano, manzana",
es,,,,nestle,,,en:spain,,,,100g,100g,,628.0,3.0,g,1.2,g,12.0,g,2.5,g,2.2,g,7.6,g,0.21,g,0.084,g,628.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Novasource diabet plus,
es,,,,nestle,,,en:spain,,,,100g,100g,,520.0,29.0,g,18.0,g,57.0,g,44.0,g,2.0,g,9.0,g,0.1,g,0.04,g,520.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Savoy,
es,,,,nestle,,,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - El CoCo, Apps",,
es,,,,nestle,,"en:organic,en:eu-organic,en:es-eco-019-ct",en:spain,,,,100g,100g,,0.0,,,,,,,,,,,,,,,,,0.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,15,,"App - yuka, Apps",Café Ecológico,
es,,,,nestle,,en:no-gluten,en:spain,,,,100g,100g,,81.0,0.3,g,0.01,g,18.0,g,12.3,g,,,1.0,g,,,,,81.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Plátano naranja y galleta,
es,,,,nestle,,"en:no-colorings,en:nutriscore,en:nutriscore-grade-c",en:spain,,,,100g,100g,,397.0,7.0,g,4.0,g,71.3,g,19.1,g,6.8,g,8.6,g,0.77,g,0.308,g,397.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Cereales nestle fitness chocolate 375gr,
es,,,,nestle,en:dairies,,en:spain,,,,100g,100g,,321.0,8.0,g,4.6,g,54.9,g,54.9,g,0.0,g,7.5,g,0.2,g,0.08,g,321.0,kcal,,,,,,,,,,,,,,,unknown,d,18.0,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Leche condensada la lechera,
es,,,,nestle,,en:no-gluten,en:spain,,,,100g,100g,,516.0,27.3,g,16.0,g,58.4,g,54.6,g,,,5.7,g,0.0,g,0.0,g,516.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Chocolate negro Dolca,
es,,,,nestle,,,en:spain,,,,100g,100g,,550.0,35.0,g,20.0,g,50.0,g,50.0,g,0.0,g,10.0,g,0.0,g,0.0,g,550.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Galak,
es,,,,nestle,,,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Isosource protein,
es,150 ,,,nestle,"en:dairies,en:desserts,en:dairy-desserts,en:creamy-puddings",,en:spain,,,,100g,100g,,71.0,0.2,g,0.1,g,7.4,g,4.8,g,0.0,g,10.0,g,,,,,71.0,kcal,,,,,,,,,,,,en:dairy-desserts,"en:milk-and-dairy-products,en:dairy-desserts",,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - Yuka, Apps, App - El CoCo",Protein pudding,
fr,,,,nestle,"en:beverages,en:dairies","en:no-gluten,en:no-lactose","en:france,en:spain",,,,100g,100g,,1.0,0.0,g,0.0,g,0.3,g,0.0,g,2.7,g,0.2,g,0.7,g,0.28,g,1.0,kcal,,,,,,,,,,,,,,,unknown,c,2.0,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps, App - El CoCo",Cofee Mate Orginal X 170 GR.,
es,100 ,,,nestle,"en:botanas,en:galletas,en:galletas-y-pasteles,en:snacks-dulces",,en:spain,,,,100g,100g,,130.0,20.9,g,9.8,g,69.5,g,38.1,g,,,4.6,g,5.0,g,2.0,g,130.0,kcal,,,,,,,,,,,,,,,unknown,e,28.0,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Galletas wafe sabor limon,
es,125,,,nestle,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts,en:flavoured-fermented-dairy-desserts,en:cow-milk-yogurts,en:flavoured-yogurts",,en:spain,,en:milk,,100g,100g,314.0,74.0,1.9,g,1.3,g,11.44,g,11.44,g,0.0,g,2.9,g,0.13,g,0.052,g,314.0,kJ,,,,,,,,,,,,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",4.0,en:4-ultra-processed-food-and-drink-products,b,2.0,b,73.0,1.0,19575.0,-5,-15,1,0,,"App - elcoco, Apps, App - yuka, App - El CoCo",Yogur Nestle Sabor Fresa 4x125GRS,"Leche desnatada, nata, azúcar, leche desnatada en polvo, aroma, proteínas lácteas, fermentos lácteos (con lactosa), colorante (carmín)."
es,6 x 40 ml,,,nestle,"en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams",en:no-added-sugar,"en:france,en:spain",,,,100g,100g,,322.0,24.6,g,15.0,g,22.3,g,7.6,g,,,5.4,g,0.17,g,0.068,g,322.0,kcal,,,,,,,,,,,,en:ice-cream,"en:milk-and-dairy-products,en:ice-cream",,unknown,d,15.0,b,67.0,1.0,39509.0,-5,-15,1,0,,"App - yuka, Apps, App - El CoCo, App - Open Food Facts",Mini almendrado 0%,
